ptid,polyid,acres,perim_m,lat,lon,date,outdate,parentid,parentac,name,tundra,maritime,boreal,BERING_TAI,ALEUTIAN_M,ALASKA_RAN,ARCTIC_TUN,COASTAL_RA,PACIFIC_MO,INTERMONTA,COAST_MOUN,BERING_TUN,FID_1,acres_1
17159,9797,15.413,1359,66.637579,-148.181494,6/27/1990,9/15/1990,684,287704,32018,0,0,62100,0,0,0,0,0,0,62100,0,0,9797,15.413
17162,9802,37.645,2043,66.638084,-148.161677,6/27/1990,9/15/1990,684,287704,32018,0,0,153000,0,0,0,0,0,0,153000,0,0,9802,37.645
17172,9803,0.002,15,66.640416,-148.152839,6/27/1990,9/15/1990,684,287704,32018,0,0,900,0,0,0,0,0,0,900,0,0,9803,0.002
17167,9804,81.995,2974,66.638473,-148.135492,6/27/1990,9/15/1990,684,287704,32018,0,0,336600,0,0,0,0,0,0,336600,0,0,9804,81.995
17152,9814,1351.293,12446,66.632157,-148.072039,6/27/1990,9/15/1990,684,287704,32018,0,0,5463900,0,0,0,0,0,0,5463900,0,0,9814,1351.293
17190,9829,1274.251,12287,66.648557,-148.230882,6/27/1990,9/15/1990,684,287704,32018,0,0,5153400,0,0,0,0,0,0,5153400,0,0,9829,1274.251
17257,9838,11.416,1230,66.643122,-147.707639,6/27/1990,9/15/1990,684,287704,32018,0,0,47700,0,0,0,0,0,0,47700,0,0,9838,11.416
17299,9856,4.215,698,66.651151,-147.721164,6/27/1990,9/15/1990,684,287704,32018,0,0,16200,0,0,0,0,0,0,16200,0,0,9856,4.215
17280,9861,278.646,4805,66.609641,-146.789172,6/27/1990,9/15/1990,684,287704,32018,0,0,1129500,0,0,0,0,0,0,1129500,0,0,9861,278.646
17324,9865,0.41,244,66.616605,-146.794016,6/27/1990,9/15/1990,684,287704,32018,0,0,1800,0,0,0,0,0,0,1800,0,0,9865,0.41
17327,9867,0.36,196,66.617005,-146.790838,6/27/1990,9/15/1990,684,287704,32018,0,0,900,0,0,0,0,0,0,900,0,0,9867,0.36
17376,9885,0.554,674,66.675273,-147.953614,6/27/1990,9/15/1990,684,287704,32018,0,0,1800,0,0,0,0,0,0,1800,0,0,9885,0.554
