FID,FID_prior_,FireName,FireYear,CalcAcres,DiscDate,parentid,FID_curr_f,FireName_1,FireYear_1,CalcAcre_1,DiscDate_1,parentid_1,pairid,ac,perim_m
3076,1,Spirit Lake,2000,97270.800000000003000,6/10/2000 0:00:00,1237,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1037,96197.789999999994000,182565.459999999990000
3077,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Sischu,2002,128974.500000000000000,6/5/2002 0:00:00,877,1037,127901.460000000010000,149492.310000000000000
3078,1,Spirit Lake,2000,97270.800000000003000,6/10/2000 0:00:00,1237,1,Sischu,2002,128974.500000000000000,6/5/2002 0:00:00,877,1037,1073.050000000000000,19576.070000000000000
3079,1,JOHN HANSEN,1969,92979.100000000006000,6/23/1969 0:00:00,1602,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1038,83879.940000000002000,158843.179999999990000
3080,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,John Hansen Lake,2002,25748.299999999999000,7/20/2002 0:00:00,961,1038,16649.119999999999000,89207.479999999996000
3081,1,JOHN HANSEN,1969,92979.100000000006000,6/23/1969 0:00:00,1602,1,John Hansen Lake,2002,25748.299999999999000,7/20/2002 0:00:00,961,1038,9099.159999999999900,44820.900000000001000
3082,1,60 Mile,1986,1262.099999999999900,6/15/1986 0:00:00,731,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1039,933.190000000000050,9010.969999999999300
3083,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Porcupine,2004,284593.700000000010000,6/21/2004 0:00:00,1649,1039,284264.700000000010000,344660.179999999990000
3084,1,60 Mile,1986,1262.099999999999900,6/15/1986 0:00:00,731,1,Porcupine,2004,284593.700000000010000,6/21/2004 0:00:00,1649,1039,328.940000000000000,11763.590000000000000
3085,1,BEAVER LOG,1968,1261.599999999999900,7/7/1968 0:00:00,1754,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1040,166.970000000000000,7103.229999999999600
3086,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,1040,63321.410000000003000,112364.100000000010000
3087,1,BEAVER LOG,1968,1261.599999999999900,7/7/1968 0:00:00,1754,1,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,1040,1094.670000000000100,10565.400000000000000
3088,1,Bearpaw,2009,16585.599999999999000,7/12/2009 0:00:00,313,-1, , ,0.000000000000000,12/30/1899 0:00:00,0,1041,16508.040000000001000,86641.449999999997000
