FID,name,year,acres,date,parentid
1608,Haggard,1946,4800.3,7/11/1946 0:00,1608
1609,22 Mile Tok Road,1947,18781.1,7/24/1947 0:00,1609
1610,West Crazy,2007,6057.8,6/3/2007 0:00,1610
1611,Birch Creek,1951,38787.2,5/30/1951 0:00,1611
1612,632097,1986,39633.1,7/1/1986 0:00,1612
1613,Middle Fork,1986,2649.7,7/4/1986 0:00,1613
1614,Flat Creek,1986,1296.9,7/4/1986 0:00,1614
1615,331653,1993,9813.6,7/20/1993 0:00,1615
1616,Toklat,2010,133857,5/16/2010 0:00,1616
1617,Blind Luck,2008,14288.7,7/7/2008 0:00,1617
1618,NENANA W-20,1958,2830,5/11/1958 0:00,1618
1619,TELSITNA RIVER,1958,1387.2,6/9/1958 0:00,1619
1620,GLOBE CREEK NW-5,1958,5219.1,6/22/1958 0:00,1620
1621,COPPER CANYON,1958,5398.3,7/7/1958 0:00,1621
1622,KING CREEK,1969,4617.6,6/22/1969 0:00,1622
1623,SCHIEFFLIN,1969,1513.2,6/22/1969 0:00,1623
1624,HIDDEN CREEK,1968,8739.2,7/23/1968 0:00,1624
1625,BEAR CREEK,1977,374389.2,8/6/1977 0:00,1625
1626,ENN SW 9,1977,1650.8,6/11/1977 0:00,1626
1627,CABLE,1972,6701.4,7/9/1972 0:00,1627
1628,HSL S 10,1984,3206.5,7/3/1984 0:00,1628
1629,BUZA,1974,352077.1,6/24/1974 0:00,1629
1630,TOK RIVER,1990,103274.9,7/1/1990 0:00,1630
1631,414008,1984,3316.1,6/11/1984 0:00,1631
1632,MCARTHURCREEK,1999,9209.1,6/13/1999 0:00,1632
1633,Box River,2005,5591.2,6/25/2005 0:00,1633
1634,CEM WNW 73,1992,3002.5,6/29/1992 0:00,1634
1635,ALBERT CREEK,1974,1993.1,8/2/1974 0:00,1635
1636,Shawnee Peak,1997,1467.8,7/2/1997 0:00,1636
1637,832073,1988,3687,7/12/1988 0:00,1637
1638,LowerLadue,1999,53842,6/12/1999 0:00,1638
1639,UpperWestFork,1999,35776,6/12/1999 0:00,1639
1640,REED RIVER,1997,4749.4,7/2/1997 0:00,1640
1641,Pastoliak River,2000,12890.9,12/28/2000 0:00,1641
1642,Minto,1999,3876.2,6/13/1999 0:00,1642
1643,FYU NW 97,1988,1188.1,6/12/1988 0:00,1643
1644,FYU W 37,1987,1134.3,7/15/1987 0:00,1644
1645,NOWITNA,1966,51484.3,8/12/1966 0:00,1645
1646,SHEEJEK,1968,3148,7/16/1968 0:00,1646
1647,AMOS LAKE,1969,6452.5,6/13/1969 0:00,1647
1648,VON FRANK,1969,2433.2,7/7/1969 0:00,1648
1649,Porcupine,2004,284593.7,6/21/2004 0:00,1649
1650,Evansville,2004,135652.7,7/6/2004 0:00,1650
1651,CLEARWATER #2,1995,1217.3,6/14/1995 0:00,1651
1652,IVA,1972,11237.6,7/9/1972 0:00,1652
1653,Bear Paw Mountain,2005,6777.6,7/16/2005 0:00,1653
1654,Moose Creek,2002,5383.2,7/17/2002 0:00,1654
1655,SAWTOOTH MOUNTAIN S-6,1957,33480.2,7/11/1957 0:00,1655
1656,ROGERS CREEK,1955,1007.3,7/25/1955 0:00,1656
1657,Big Sitdown Creek,2005,6969.3,6/11/2005 0:00,1657
1658,332229,1993,11534.6,6/2/1993 0:00,1658
1659,TOK-KAN SW5,1957,8374.9,7/5/1957 0:00,1659
1660,Graveyard Creek      631360,1996,11362.6,6/3/1996 0:00,1660
1661,BTT S 49,1991,33596.3,7/1/1991 0:00,1661
1662,Akikukchiak,2005,1368.8,6/17/2005 0:00,1662
1663,DONKEY,1972,18271.8,7/10/1972 0:00,1663
1664,HEALY,1958,39261.3,7/4/1958 0:00,1664
1665,BOUNDARY CREEK,1957,1661.9,6/26/1957 0:00,1665
1666,532370,1995,6451.9,7/15/1995 0:00,1666
1667,GAL NE76,1995,2582.7,7/16/1995 0:00,1667
1668,DCKN178,1993,16786.5,7/3/1993 0:00,1668
1669,SPITLER,1990,5883.4,7/25/1990 0:00,1669
1670,531004,1985,1234.1,6/5/1985 0:00,1670
1671,NIKOLAI SLOUGH-BEAR CREEK,1957,2896.6,6/10/1957 0:00,1671
1672,GRANT CREEK,1957,8395.3,6/13/1957 0:00,1672
1673,MARY,1974,10350.6,6/21/1974 0:00,1673
1674,31012,1990,4955.9,5/29/1990 0:00,1674
1675,31035,1990,6137.7,7/3/1990 0:00,1675
1676,JOHN,1969,70895,6/27/1969 0:00,1676
1677,Noyuk,2007,2762.4,7/5/2007 0:00,1677
1678,Tatalina,1981,78260.9,6/16/1981 0:00,1678
1679,TODATONTEN,1981,23674.7,6/18/1981 0:00,1679
1680,DISHKAKET NE-10,1957,26792.9,6/25/1957 0:00,1680
1681,TWO LAKES,1981,2586.3,6/22/1981 0:00,1681
1682,Walker Fork,1998,3316.4,6/3/1998 0:00,1682
1683,131462,1991,16865.6,6/26/1991 0:00,1683
1684,BONANZA,1981,6584.3,6/20/1981 0:00,1684
1685,CROOKED CR,1990,8427.5,7/1/1990 0:00,1685
1686,EIL NE 20,1976,5728.6,6/10/1976 0:00,1686
1687,BTT SSW 55,1994,2223.1,6/10/1994 0:00,1687
1688,Cirle City N 14,1977,62561.4,7/26/1977 0:00,1688
1689,DUBLI #2,1956,114820.5,6/12/1956 0:00,1689
1690,DUBLI #1,1956,2495.4,6/12/1956 0:00,1690
1691,GALENA N-35,1956,22320.2,6/15/1956 0:00,1691
1692,WITCH,1974,34145,6/21/1974 0:00,1692
1693,NONA,1968,33497.3,7/24/1968 0:00,1693
1694,GORKEY,1972,10084.6,7/8/1972 0:00,1694
1695,Reed River,2008,1148.4,6/27/2008 0:00,1695
1696,Hillbilly,2004,9892.8,6/14/2004 0:00,1696
1697,Grant Creek,2000,19247.5,6/13/2000 0:00,1697
1698,HSL W 37,1990,6803.9,7/20/1990 0:00,1698
1699,Cosna River,2005,21194.3,6/17/2005 0:00,1699
1700,BAKER CREEK,1969,9508.3,9/19/1969 0:00,1700
